Date,Close,High,Low,Open,Volume
2015.9.19,271319.0625,273325.5938,270845.5625,272918.9063,14899675704
2015.9.20,271126.125,272341.0938,270635.75,271208.875,16938288561
2015.9.21,267392.5938,270979.375,266678.625,271132,23171787000
2015.9.22,272964.0625,274580.3125,265163.0625,267256,29601507666
2015.9.23,274812.8438,275466.3438,273250.0313,273340.4688,20590525317
2015.9.24,279068.4063,280417.5938,274534.6563,274902.3438,29864123198
2015.9.25,280308.0938,282269.8438,279170.5938,278869.6875,26658976652
2015.9.26,279349.6875,280616.8438,278179.0625,280227.0625,16360087887
2015.9.27,277488.25,279571.4063,277262.5,279110.0938,16904993182
2015.9.28,285724.4688,286256.625,277109.9688,277582.4063,29526845270
2015.9.29,282871.7188,286805.5938,281683.875,285573.9375,27119053369
2015.9.30,279695.6875,282546.8438,278046.9375,282815.5625,23393085975
2015.10.1,279844.5938,281386.5625,277183.375,279629.3438,24136830840
2015.10.2,278131.125,281888.6563,277968.3125,279508.875,23064466590
2015.10.3,279815.4375,280501.125,277722.0625,278024.4688,19319372670
2015.10.4,279034.6563,280094.4063,278818.0938,279582.1875,15223648860
2015.10.5,278904.375,278904.375,277098.6563,278903.4688,27075477975
2015.10.6,285519.2188,286449.5313,279926.5313,278882.3438,31950353285
2015.10.7,281297.3438,287580.7188,280886.75,285643.3438,26627323800
2015.10.8,279134.2188,283135.7813,281271.5313,281420.0625,21329625600
2015.10.9,279801.0625,279965.875,278859.1563,279357.6875,19904873355
2015.10.10,280959.5625,281393.1563,278818.0313,279581.9688,18252662535
2015.10.11,283094.5938,283414.6563,280054.5313,280731.3125,19282403070
2015.10.12,280438.5625,283730.75,279609.5,282894.0625,19878478443
2015.10.13,286762.0313,287758.875,280028.0313,280315.0938,32408818035
2015.10.14,286418.25,289179.3125,285890,286744.7813,31214815038
2015.10.15,285362.3125,287174,286878.75,286552.375,28302280410
2015.10.16,297157.625,300692.6563,286301.5625,285335.375,40584491660
2015.10.17,305942.3125,309263.5313,296590.1563,297019.7188,48834555824
2015.10.18,295648.75,307104.375,294792.75,306244.125,25350085971
2015.10.19,298055.2813,297048.5938,292001.5625,295895.0625,28578058908
2015.10.20,304638.7188,306346.875,297004.2813,298208,34922154492
