Price,Close,High,Low,Open,Volume
Ticker,BTC-KRW,BTC-KRW,BTC-KRW,BTC-KRW,BTC-KRW
Date,,,,,
2015-03-28,278767.9375,280319.46875,272346.75,272346.75,17688781657
2015-03-29,267768.25,279143.96875,265770.75,278704.0,23939429062
2015-03-30,273887.53125,275871.03125,264642.46875,267951.40625,25460122400
2015-03-31,270595.3125,275761.96875,268704.78125,273807.84375,25120122560
2015-04-01,271690.125,272052.5,265956.0625,270594.21875,25136323500
2015-04-02,275993.03125,277413.375,268264.21875,271489.03125,28659728436
2015-04-03,276061.4375,279135.53125,275505.25,276068.3125,25125171368
2015-04-04,275383.03125,277077.4375,272564.03125,276027.78125,13561444380
2015-04-05,282751.4375,282834.96875,273478.0,275452.5,21319578492
2015-04-06,277311.03125,284417.34375,276570.28125,282884.90625,21745120680
2015-04-07,276832.0625,278929.75,275004.34375,277074.40625,20192624508
2015-04-08,267350.84375,276637.375,266658.34375,276705.21875,32828173632
2015-04-09,266681.4375,269536.125,261223.703125,267055.15625,23686862835
2015-04-10,258017.265625,267234.84375,254418.703125,266701.15625,31566870720
2015-04-11,258541.875,261804.359375,255943.90625,257956.046875,17886508992
2015-04-12,257973.53125,259827.1875,255200.6875,258523.296875,13532541960
2015-04-13,247263.5625,260225.703125,244390.953125,257751.78125,34330226346
2015-04-14,239185.75,246528.703125,235945.65625,247452.921875,34617482220
2015-04-15,244895.671875,244895.671875,239038.015625,239091.890625,24685084200
2015-04-16,247679.421875,248870.28125,244091.9375,244987.59375,26878883386
2015-04-17,241334.40625,248317.234375,240001.421875,247681.578125,22121183142
2015-04-18,241847.640625,242887.109375,239162.328125,241303.0,14010219810
2015-04-19,240924.4375,245092.765625,240583.125,241955.921875,16258069880
2015-04-20,243034.109375,244594.890625,240134.71875,240937.421875,19869687165
2015-04-21,254610.46875,254610.46875,242624.140625,243027.609375,27031441380
2015-04-22,253631.34375,256955.984375,252870.84375,254970.84375,25829183532
2015-04-23,255532.671875,255653.125,252391.28125,253498.109375,18409953400
2015-04-24,248703.296875,254902.203125,247283.75,255000.984375,23065717493
2015-04-25,243457.546875,250093.78125,243400.546875,248667.8125,15009433308
2015-04-26,236255.890625,244053.3125,231073.34375,243479.046875,31163102916
2015-04-27,245086.09375,249223.390625,234034.609375,236254.8125,41232134340
2015-04-28,240264.546875,245880.9375,237876.328125,244747.25,22838934960
2015-04-29,241560.359375,242524.125,238350.640625,239983.703125,20257510240
2015-04-30,254387.203125,257788.953125,240292.515625,241437.34375,36431086850
2015-05-01,250789.203125,257146.53125,250789.203125,254165.28125,20332189486
2015-05-02,253870.046875,254731.3125,251072.328125,251072.328125,13546112010
2015-05-03,259526.546875,262850.0,252954.765625,253816.03125,19969004475
2015-05-04,258072.515625,262068.453125,257141.578125,259524.390625,22915329448
2015-05-05,255114.578125,258273.34375,251237.90625,257893.28125,25853956804
2015-05-06,248065.75,255393.953125,247652.0,255252.859375,31941453504
2015-05-07,259417.921875,261325.015625,248913.703125,247936.203125,31768842420
2015-05-08,265076.65625,267777.25,257160.625,259275.828125,29832984045
2015-05-09,262868.96875,269360.46875,260485.203125,264974.46875,21512075595
2015-05-10,261105.640625,265299.46875,259626.46875,262757.0,16319754060
2015-05-11,265577.09375,267690.625,261326.78125,261108.890625,22912794333
2015-05-12,263605.34375,266513.3125,262694.71875,265562.84375,21081473754
2015-05-13,258182.78125,266046.78125,256633.875,263918.0,29687464225
2015-05-14,258098.609375,259008.28125,254630.625,258004.75,26595064095
2015-05-15,257404.625,258918.078125,256517.65625,258126.9375,17690128902
2015-05-16,255831.625,257504.296875,254902.125,257446.875,12013804701
2015-05-17,256624.703125,257859.609375,255676.703125,255676.703125,12066352253
2015-05-18,253951.0,257394.203125,253258.203125,256716.796875,18279116396
2015-05-19,253919.34375,255077.078125,253739.9375,253851.875,15591035187
2015-05-20,256560.953125,257454.296875,253973.625,253856.9375,16992457202
2015-05-21,257118.015625,257981.0,255862.265625,256558.765625,16506775428
2015-05-22,263486.3125,263863.46875,256203.640625,257092.890625,29602578810
2015-05-23,261868.203125,264228.46875,261669.78125,263418.34375,16011023350
2015-05-24,263937.5,265273.21875,261801.34375,261982.21875,12605748120
2015-05-25,260050.390625,264315.6875,259330.484375,263909.03125,15819412325
2015-05-26,262435.25,262978.65625,260079.046875,260043.8125,18178861500
2015-05-27,263013.96875,263637.90625,262880.5625,262378.8125,20879684280
2015-05-28,263062.3125,263399.59375,261353.734375,262985.15625,15324026576
2015-05-29,263653.125,263103.125,261133.375,263027.96875,16463308050
2015-05-30,259481.96875,263649.78125,258037.484375,263648.65625,15677784186
2015-05-31,256383.328125,259378.5625,255225.46875,259248.4375,16407017732
2015-06-01,248531.28125,257319.59375,246751.6875,256431.21875,29087254830
2015-06-02,250092.625,251013.828125,247730.296875,248495.609375,22659774630
